NOME_SENADOR,02/07/2024,03/07/2024,04/09/2024,05/03/2024,05/06/2024,08/05/2024,08/10/2024,10/04/2024,10/07/2024,10/12/2024,12/11/2024,12/12/2024,13/03/2024,13/08/2024,14/08/2024,15/05/2024,16/04/2024,17/04/2024,17/12/2024,18/06/2024,18/11/2024,18/12/2024,19/06/2024,19/12/2024,20/02/2024,22/05/2024,27/11/2024,DATA
ALAN RICK,1,0,1,1,0,1,1,1,1,1,1,1,1,-1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
ALESSANDRO VIEIRA,1,1,-1,1,1,1,1,1,1,1,1,1,0,-1,1,0,1,1,1,1,0,1,1,1,0,1,1,0
ANA PAULA LOBATO,1,1,0,0,1,1,1,1,0,0,0,1,1,-1,1,0,1,1,1,1,1,0,1,1,0,1,1,0
ANGELO CORONEL,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ASTRONAUTA MARCOS PONTES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,-1,1,1,1,1,1,1,1,0
AUGUSTA BRITO,0,0,-1,1,0,0,0,0,0,1,1,1,1,-1,1,0,0,0,1,0,1,1,0,1,1,0,1,0
BETO FARO,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0
BETO MARTINS,0,0,1,0,0,0,1,0,0,0,1,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
CARLOS FÁVARO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CARLOS PORTINHO,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,-1,1,1,1,1,1,0,0,0
CARLOS VIANA,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,-1,1,1,1,1,1,1,1,0
CASTELLAR NETO,0,0,-1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICO RODRIGUES,0,1,-1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0
CID GOMES,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0
CIRO NOGUEIRA,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,0,1,1,0,1,0
CLEITINHO,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0
CONFÚCIO MOURA,1,1,-1,1,1,1,1,1,0,1,1,0,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0
DAMARES ALVES,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,0,1,0,0
DANIELLA RIBEIRO,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0
DAVI ALCOLUMBRE,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
DR. HIRAN,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0
EDUARDO BRAGA,0,0,0,0,1,1,1,1,1,0,1,1,1,-1,1,0,1,0,1,0,1,1,1,1,1,1,0,0
EDUARDO GIRÃO,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,0
EDUARDO GOMES,1,1,1,0,1,0,1,1,1,1,1,1,1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,0
EFRAIM FILHO,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
ELIZIANE GAMA,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0
ESPERIDIÃO AMIN,1,1,-1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0
FABIANO CONTARATO,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
FERNANDO DUEIRE,1,0,-1,0,1,1,1,1,0,1,0,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
FERNANDO FARIAS,1,1,-1,1,1,0,1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0
FLÁVIO ARNS,1,1,-1,1,0,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
FLÁVIO BOLSONARO,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0
GIORDANO,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0
HAMILTON MOURÃO,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0
HUMBERTO COSTA,0,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1,0,1,1,0,1,0,1,1,0
IRAJÁ,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
IVETE DA SILVEIRA,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0
IZALCI LUCAS,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,-1,0,1,1,1,1,1,1,0
JADER BARBALHO,0,0,-1,1,0,1,0,1,1,0,1,0,0,-1,1,1,0,0,1,0,0,1,1,1,1,1,0,0
JAIME BAGATTOLI,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,0,1,0
JAQUES WAGNER,1,1,-1,1,1,1,1,1,1,1,0,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,0,0,0
JAYME CAMPOS,1,0,1,1,1,1,1,1,1,1,1,1,0,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
JORGE KAJURU,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
JORGE SEIF,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,-1,1,1,1,1,0,1,1,0
JUSSARA LIMA,1,1,1,1,1,1,0,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
LAÉRCIO OLIVEIRA,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
LEILA BARROS,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
LUCAS BARRETO,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,0,1,0
LUIS CARLOS HEINZE,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0
MAGNO MALTA,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0
MARA GABRILLI,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
MARCELO CASTRO,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
MARCIO BITTAR,1,0,1,1,1,0,0,1,1,1,1,1,1,-1,1,0,1,0,1,-1,1,0,0,1,1,0,1,0
MARCOS DO VAL,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,-1,1,0,1,0,1,1,1,0
MARCOS ROGÉRIO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,0,1,1,1,0,1,0
MARGARETH BUZETTI,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
MECIAS DE JESUS,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0
NELSINHO TRAD,0,1,1,0,0,1,1,1,1,0,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
OMAR AZIZ,1,1,1,-1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
ORIOVISTO GUIMARÃES,1,1,-1,1,0,1,1,1,1,1,1,0,-1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
OTTO ALENCAR,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
PAULO PAIM,1,1,-1,1,0,1,1,1,1,1,0,1,1,-1,1,1,-1,1,1,1,0,1,1,1,1,1,1,0
PLÍNIO VALÉRIO,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0
PROFESSORA DORINHA SEABRA,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
RANDOLFE RODRIGUES,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
RENAN CALHEIROS,1,0,0,1,1,1,1,0,0,1,0,0,1,-1,1,1,-1,1,1,0,0,0,1,1,1,0,1,0
RODRIGO CUNHA,1,1,1,1,1,0,1,1,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
RODRIGO PACHECO,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
ROGERIO MARINHO,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0
ROGÉRIO CARVALHO,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,0,1,1,1,1,1,1,1,0
ROMÁRIO,1,0,0,-1,1,1,1,1,0,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,0,1,1,0
SERGIO MORO,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,0
SORAYA THRONICKE,0,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,0,0,0,1,-1,1,1,1,1,1,1,1,0
STYVERSON VALENTIM,1,0,1,1,1,1,1,1,1,0,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SÉRGIO PETECÃO,1,0,1,1,1,1,1,1,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
TERESA LEITÃO,0,1,-1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0
TEREZA CRISTINA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,-1,1,1,1,1,0,1,1,0
VANDERLAN CARDOSO,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
VENEZIANO VITAL DO RÊGO,0,0,-1,1,1,1,1,1,0,0,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
WELLINGTON FAGUNDES,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0
WEVERTON,1,1,0,0,1,1,1,0,0,1,0,1,1,-1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
WILDER MORAIS,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
ZENAIDE MAIA,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ZEQUINHA MARINHO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0
